Wallet: DJFJdvbr9k96is8EPmsLqHG217LG8vzo2q
  Transaction Hash: b9ffcaf463f1c7941cfec1b6dd4aaee46cf75acadc7363acdf33a2e401fa3347
  Value: 68.2647144 DOGE

  Transaction Hash: 1e0227c0b3af88b786d712612060dae4a0b5353766178731b0c1718553b285a0
  Value: 68.4226036 DOGE

  Transaction Hash: 1c812fa7245e2c8a1c48eb7369489ddfa120c64ace35ffb9f18bbd1b1f9cc79b
  Value: 138.6905402 DOGE

  Transaction Hash: 0fe0020994194a778e2678b46551eb30e36da9cd7333602af4704fb8cd7a8ea0
  Value: 138.8484294 DOGE

  Transaction Hash: a8cbc1434193ce00bbf529372250b78066d23daccf41ebac23d59b522baa7644
  Value: 0.001 DOGE

  Transaction Hash: ac87eb3c51142f3ad354ddd96f486ab9ee3d44ca5df57e1e8a5a32739ea0edf9
  Value: 139.3242376 DOGE

  Transaction Hash: 1ec2cc277d791bf257a86f9ba6a7c7df68b6e99a482acd97dd66de4d7b921930
  Value: 279.4797384 DOGE

  Transaction Hash: 8cf11a4d939e13611039a146eb31de825234bc6b3532e1a2a590b112b7c1bb6a
  Value: 0.001 DOGE

  Transaction Hash: 127ddeb917827993210b966066d97d301d45be047d52187644e1b7c3efea0efe
  Value: 279.8444992 DOGE

  Transaction Hash: c87d99160f7b45b904e76d2c121868ee782519a9d967566d520121df169fd4b3
  Value: 288.60588767 DOGE

  Transaction Hash: 3b7f88576495d945899b598811e0289e4b6bc5b1e58af3287a11b4f3353dfc14
  Value: 138.77149955 DOGE

